 ; Genus ; Innovus ; Genus ; Innovus ; Genus ; ; Innovus ; ; Genus ; Innovus 
Design ; Data Path (ps) ; Arrival (ps); Freq (MHz) ; Freq (MHz) ;  Cell Area ; Total Area ; Cell Area ; Total Area ; Total Power(uW); Total Power(uW)
Signal ;3193 ; 3218.000 ; 313.18509238960225000000 ; 310.75201988812927284000 ; 1206.157 ; 2462.799 ; 1241.190 ; 1726.656 ; 266,23099999999999454303 ; 258.20603000000000000000
Signal ;3100 ; 3057.000 ; 322.58064516129032000000 ; 327.11808963035655871000 ; 1320.016 ; 2681.168 ; 1251.200 ; 1895.568 ; 277,56700000000000727596 ; 257.89738000000000000000
Signal ;3000 ; 2962.000 ; 333.33333333333333000000 ; 337.60972316002700877000 ; 1327.523 ; 2735.665 ; 1254.954 ; 1901.824 ; 275,41199999999997771738 ; 255.24728000000000000000
Signal ;2889 ; 2877.000 ; 346.14053305642090000000 ; 347.58428919012860618000 ; 1241.190 ; 2588.071 ; 1248.698 ; 1782.960 ; 272,05200000000002091838 ; 257.74554000000000000000
Signal ;2796 ; 2796.000 ; 357.65379113018597000000 ; 357.65379113018597997000 ; 1283.731 ; 2645.666 ; 1286.234 ; 1839.264 ; 280,57100000000002637535 ; 265.97825000000000000000
Signal ;2699 ; 2695.000 ; 370.50759540570581000000 ; 371.05751391465677179000 ; 1405.098 ; 2863.363 ; 1326.272 ; 2021.939 ; 295,38499999999999090505 ; 273.96462000000000000000
Signal ;2600 ; 2503.000 ; 384.61538461538461000000 ; 399.52057530962844586000 ; 1408.851 ; 2924.462 ; 1292.490 ; 2021.939 ; 285,94200000000000727596 ; 261.06056000000000000000
Signal ;2498 ; 2490.000 ; 400.32025620496397000000 ; 401.60642570281124497000 ; 1361.306 ; 2812.783 ; 1292.490 ; 1961.882 ; 277,29000000000002046363 ; 261.71609000000000000000
Signal ;2400 ; 2340.000 ; 416.66666666666666000000 ; 427.35042735042735042000 ; 1390.083 ; 2872.105 ; 1281.229 ; 2001.920 ; 283,65199999999998681233 ; 259.99797000000000000000
Signal ;2297 ; 2285.000 ; 435.35045711797997000000 ; 437.63676148796498905000 ; 1665.347 ; 3316.534 ; 1611.546 ; 2382.285 ; 299,59100000000000818545 ; 281.98166000000000000000
Signal ;2195 ; 2199.000 ; 455.58086560364464000000 ; 454.75216007276034561000 ; 1621.555 ; 3352.886 ; 1550.237 ; 2318.474 ; 301,05299999999999727152 ; 282.50592000000000000000
Signal ;2099 ; 2091.000 ; 476.41734159123392000000 ; 478.24007651841224294000 ; 1431.373 ; 2962.212 ; 1355.050 ; 2061.978 ; 290,27499999999997726263 ; 270.40604000000000000000
Signal ;2000 ; 2049.000 ; 500.00000000000000000000 ; 488.04294777940458760000 ; 1706.637 ; 3337.287 ; 1622.806 ; 2454.854 ; 318,04700000000002546585 ; 295.23422000000000000000
Signal ;1896 ; 1897.000 ; 527.42616033755274000000 ; 527.14812862414338429000 ; 1785.462 ; 3625.045 ; 1724.154 ; 2567.462 ; 320,40399999999999636202 ; 302.44403000000000000000
Signal ;1800 ; 1797.000 ; 555.55555555555555000000 ; 556.48302726766833611000 ; 2061.978 ; 4056.802 ; 1950.621 ; 2947.827 ; 351,11500000000000909495 ; 325.39161000000000000000
Signal ;1700 ; 1716.000 ; 588.23529411764705000000 ; 582.75058275058275058000 ; 1913.085 ; 3741.442 ; 1792.970 ; 2733.872 ; 346,61700000000001864464 ; 320.21566000000000000000
Signal ;1600 ; 1598.000 ; 625.00000000000000000000 ; 625.78222778473091364000 ; 2217.126 ; 4175.664 ; 2043.210 ; 3178.048 ; 380,75400000000001909939 ; 350.50520000000000000000
Signal ;1500 ; 1499.000 ; 666.66666666666666000000 ; 667.11140760507004669000 ; 2452.352 ; 4758.444 ; 2285.942 ; 3520.877 ; 407,95199999999999818101 ; 376.52331000000000000000
Signal ;1400 ; 1399.000 ; 714.28571428571428000000 ; 714.79628305932809149000 ; 2597.491 ; 5047.948 ; 2740.128 ; 3716.064 ; 401,16300000000001091394 ; 385.02127000000000000000
Signal ;1390 ; 1390.000 ; 719.42446043165467000000 ; 719.42446043165467625000 ; 2747.635 ; 5267.185 ; 2802.688 ; 3942.531 ; 415,29000000000002046363 ; 393.83424000000000000000
